text,score
"Tokopedia sangat membantu, responsif, seller terpercaya..",5
"Saya kecewa gopay later ga bisa di pakai lagi, padahal saya suka tepat dalam pembayaran, tepat bayar belum pernah telat,kalah sama orenge sampai sekarang paylaternya masih dipakai,jauh perbedaannya,harus lihat aplikasi lain, paylater lancar jaya aja orange mah, ga ada aturan skor kredit segala, yang penting bayarnya lancar, aneh dengan toko ini mah",1
Penarikan dana padahal kesalahan dari sistem tapi prosesnya sangat lambat dan pihak Tokopedia care tidak merespond dengan baik pertanyaan dari saya,1
baik,5
"Semuanya sihh dahh bagus dan jadi andalan gw untuk berbelanja,namun kenapa gw kasih bintang 4?... karna masih ada kekurangan terutama di bagian NOTIF PAKET, nya yang masih kendala. Ketika paket gw sudah sampai di rumah,tapi NOTIFNYA tuh gak muncul,ALYAS 1jam kemudian baru muncul NOTIFnya,jadi jedanya tuh lama banget. Terus gw jugak pernah ngalamin kala itu gw sedang di luar kota,gw yang sedang sibuk nya tiba ada paket yang datang ke rumah,tapi NOTIF yg ada di tokped itu gak muncul!!!.",4
lebih mudah blnja dsni ya udh gtu dpet diskon terus,5
keren,5
Buruk skali toped ini tidak mendaftar akun reguler kok tiba tiba jadi reguler potongan nya edan ga ngotak 7% penjualan 5jt brasa banget 375rb potongan nya Mana akun affaliate di blok tanpa alesan yang jelas semakin buruk toko pedia Merugikan seller dipikir2,1
"Udah berlangganan plus, cuman menang bebas ongkir saja, untuk waktu pengiriman tidak diperhatikan, pengiriman same Day anter aja sangat tidak memuaskan udah 2 kali pake rusak. Yang terakhir makanan 😢.",1
good aja deh,5
"Tokopedia harga penjualannya banyak menipu, katanya diskon, contoh barang harga asli 1.000.000, di tampilkan di etalase 800.000, ketika pembeli meng klik beli, harga berubah menjadi 1.000.000 kembali, jika si pembeli tidak mencermati dengan benar perubahan harga itu,maka pembeli akan membayar harga barang dengan harga 1.000.000, ini sangat merugikan sekali, apa lagi ongkir di tokopedia mahal di banding dengan aplikasi lainya...",1
okeh,5
Sekarang tarif ongkir TOKPED kalah dengan Orange !,4
minta update trs. padahal udh d update. ada vicher giliran dipakai dibatalkan sistem UDAH RAAME AJA PELIT SKRG,1
Belanja gpang di Tokopedia Sangat gampang di pahami dan di gumakan,5
tlong jngan sring2 di batalkan sepihak dong pesenan custmer..udh brpa x Lo bda akun dbtalkan sepihak,3
Silahkan Di download aplikasi nya,5
Sebaik nya jika pembeli membatal kan barang yg di beli tdk dikirim kirim langsung bisa bukan menunggu persetujuan penjual jika penjual nya lagi tdk ada barang nya atau lagi libur sehingga pembeli hrs menunggu lama .pelapak yg jual ya jika di beli oleh pembeli ya langsunh dikirim .,5
"Sangat mudah di gunakan, lengkap dan transparan.",5
"Ini apa ya ""memuat shake shake"" ganggu sekali baru aja download nggak bisa diapa apain tolong dong dibenerin",2
merugikan,1
Kacau respon nya ga ada dari Tokopedia care,1
Aplikasi aneh dapat vocer emang gede tapi pas buat beli barang di batalkan sistem trus vocer hilang aplikasi tidak jelas.,1
"Padahal dulu sering belanja di toped, tapi ko tambah kesini sama kaya aplikasi sebelah, banyak toko yang menjual barang yang tidak sesuai deskripsi. Lama2 tak UNINSTALL juga nih aplikasi",2
"Terimakasih Tokopedia!!! Aplikasi ini sangat membantu saya untuk belanja barang yang saya inginkan. Tokopedia menawarkan kemudahan dalam berbelanja. Yang paling saya suka di Tokopedia adalah pembayaran nya bisa pakai Gopay, belanja jadi lebih mudah. Produk di Tokopedia juga beragam dan banyak pilihan sehingga lebih mudah untuk belanja barang yang dibutuhkan. Good Job Tokopedia!!!",5
Apalah udah update tadi pagi malemnya di suruh update lagi kan lolot,1
Kecewa biasanya bisa COD dan ada pilihannya lalu tidak bisa COD mengecewakan udah itu ongkir nya mahal pula,1
"Saya kasih bintang 3 atas pengembalian barang yang sangat lama dan membuang waktu, harus menunggu persetujuan toko penjual. Tidak seperti si ORANGE yang saya kasih bintang 5 karena pengembalian sangat mudah dan cepat",3
agak kecewa kadang setiap toko lupa cek paket kadang g lengkap,5
Apk tempat penipuan.,1
"Barang dibatalkan sistem, uang gak kembali :)",1
Tidak bisa cair,2
Tokopedia mantap,5
pertahankan kerahasiaan klien,5
Ubah nomor hp harus verifikasi data diri macam pinjol. Niat bener mau jual privasi orang.,1
mudah2n ini yg terbaik,5
Terimakasih,5
suka banget belanja di Tokopedia pake dana,5
loading lama,3
woy ini csnya gmn si udh bayar tapi statusnya menunggu pembayaran teros sistemnya gmn si kalah sama oren hadeh balikin deh duit gue sini!!!! jelek bgt pelayanannya,1
Mau belanja aja akun dibatasi,5
Diupdate malah gk bisa buka produk yg bisa di check out 😭,1
"halo ka,boleh bantu ga ya,tokped aku gangguan Mulu nii,gimna yaa, padahal bagus bagus loo :(",5
mudah dan murah administrasi pakai kode toped,5
sangat memuaskan,5
Bismillah semoga lancar dan amanah,5
"bagus!!, tpi masalahnya ga bisa bayar ditempat😔🥲",4
Goodd,5
Pokoknya memuaskan deh walaupun saat krisis tahun 2020 an.sempat tertipu 1 kali belanjaan bodong Terima kasih toko Pedia Sukses selalu ya,5
kenapa pesanan saya selalu d.batalin,4
Jelek sekrng tokopedia suka ngencel sendiri,1
mantab,5
"Aaah, Tokopedia ny selalu minta di update, jadi ram nya makin gede 😭😭😭😭",2
mantap,5
Selalu terpercaya.. mantap👍👍👍🥰,5
"Tokopedia bagus banget, pengirmanya slalu pas, gak pindah pindah, minusnya kalo agak jauh biasanya pengirimannya lamaa, tapi salut, karena Tokopedia bisa memberi diskon hampir 90%, walaupun kadang dibatalin dengan alasan alamat sudah dipakai,",4
"perbaiki dong secepatnya, lagi klaim kupon ""server error"" mana gabisa pake kupon gratis ongkir",1
Update terbaru gak bisa hapus chat penjual di Inbox. Semakin mundur aja bukan semakin maju. Benerin dong !!!!!,1
puas semoga lancar terus😊,5
Belanja mudah.. dapat harga promo dan sangat memuaskan,5
"Donlod Topek,belanja murah,banyak promo tiap hari,barang berkualitas, mantapp Topek,makin sukses 🙏🙏",5
Apk bagus banyak hal baru dan pengalaman baru,5
Sangat membantu,5
aplikasi top baik,5
Tolong diperbaiki sistem pembayarannya,1
good 👍 terima kasih.,5
"Mantap.. Jadi penjual atau pun pembeli semua lancar.. Transfer dana cepat banget TOP dah TOKOPEDIA Lanjutkan.. Hanya sekarang update malah eror, tidak ada lagi liat posisi pesanan, di ganti pesan di klik langsung meluar aplikasi sangat sayang sudah bagu bagus malah rusak eror",5
Tolong dong perbaiki lagi soal pengiriman nya super lambat kali,1
seruuu banyak diskon,4
Pakettt nya ga nyampe2 di komplen ga di respon,1
Bagus Si pelayanannya tapi harga Barang mahal mahal Pengiriman lama Cuma menang di pelayanan aplikasi Sama metode pembayaran aja lebih suka pake apk Orange maaf ya,2
bagus,5
Murah meriah,5
"Setelah update fiturnya makin ngaco. 1️⃣ Chat akun toko jadi gak ada. Bisa muncul klo ada yg ngechat, itupun klo klik dari notif. Klo sampe notifnya hilang bisa² gak tau chatnya kemana. 2️⃣ Fitur keaktifan online gak ada lagi, kita gak tau yg dituju kapan terakhir online. Jadi gak jelas tokonya masih aktif ato nggak. 3️⃣ Proses pesanan jadi ribet harus pake Tokped Seller. Ya tau sih ini soal bisnis. Tapi lebih simpel lagi kayak dulu satu aplikasi.",2
bagus sekali,5
bissmillah,5
bagus,5
Berbelanja di Tokopedia memang paling asik,5
jan py toh sng bnr sitik,4
"Interface ribet, mau chat cs susah banget sama slow respon.... parah, udah bayar tagihan paylater tapi di aplikasi masih di proses",1
Versi ini error. Banyak bug. Layout berubah tapi malah crash bnyak,1
Kalo beri solusi apalagi soal delay pengiriman tolong dibantu follow up ke ekspedisinya terutama jika status belum update lebih dari 2x24jam. Karena custimerpun ingin tau posisi pesanan nya sudah dimana.,1
"ongkirnya mahal bgt min tolong bgt ini maaa turunin, masa iya sampe 50rb ongkir doang😞😞",3
bagus pelayanan mantab,5
bagus,5
Sangat bagus,5
"dapet diskon besar,transaksi mudah🤩",5
Tolong lah..untuk live chatnya lebih diperbaiki kualitasnya dan lebih responsif..nunggu balasan aja lama bngt,3
Tokped kenapa sering error akhir2 ini,3
"Kalo buka toko di Tokopedia seller lebih baik siapkan mental saja,potongan nya bisa lebih dari 90% dari harga barang ya,hati hati lebih baik pakai platform yang Laen tentu yang potongan nya lebih dikit ,pengalaman pribadi aja ini mah nilai harga barang Rp450.000 ribu kena potongan reguler toko Rp 320.000 , 90% dari harga barang dong.. cuma dapat Rp 97.000 ribu... Wow kan",5
"Ini saldo refund kegagalan order produk saya tidak di kembalikan ke bank langsung kenpa malah di saldo tokohpedia, di tarik harus upgrade ke plus dulu gopayny.. mesti x lah Upgade gk upgrade kan itu urusan pripadi penggunan.. itu nyangkut gk bisa di tarik, di masukan bank Gk bisa di tarik ke bank ini katany",1
Ga akan lagi belanja yg nominalnya jutaan di apl ini. Barang tdk sesuai IMEI tdk terdaftar trus di komplen agar bisa pengembalian dana tp prosesnya lama. Harus nya uang itu berguna untuk hal lain. Malah dsuruh nunggu terus padahal barang sudah di Terima kembali oleh pihak tokonya. KACAUUU LAHH,1
"Saya lebih suka belanja di shopee sama lazada karna pembayaran Nya bisa melalui COD ,,mau belanja di tokopedia aku cek2 Ternyata Ga bisa bayar di tempat",1
"Harga nya kenapa ga sesuai dgn yg tertera,mau checkout lgsung berubah harganya",1
Koq ❌ login,1
Jelek apk ny bug mulu,1
PELIT GRATIS ONGKIR !!!!!,1
banyak diskon. suka,5
Tidak memuaskan,1
Ayo tokped bakar duitmu untuk kalahkan si oren!!,1
Suka membatalkan sepihak padahal udah bayar tiba2 d batalkan sm sistemya👎👎👎👎,1
"Seru sih belanja disini,cuma minus nya jasa krim nya gitu lho,super lambat,,,apalagi kurir rekomendasi,,,kebalikan nya jdi GK rekomendasi,,,lebih ditingkatkan lagi terkait jasa krim yg begitu membagongkan",3
knp gk bisa cod? eror kah?,3
Tolong donx..tokopedia bikin mb nya yg kecil 29mb byar saya masuk order..enak ngk lemot,4
"Membantu dan melindungi hak konsumen, mantap",5
Banyak penipuan nya cs nya tidak membantu karena bukan Chat live seperti cs pada umumnya dan tidak bisa menyelesaikan masalah saya,1
Wey Dev tolong lah benerin tuh bug filter COD gak akurat sama bug saat menautkan akun dana gak bisa di aktifkan Mulu,3
Mantap,5
Mantap,5
dapat voucher banyak anjay,5
ribet banget sie hrs pake kode verifikasi setiap pembayaran,5
"Terima kasih, TOKPED",5
"Promo ghoib kek gojek wkwk, tolol",1
good,5
"ini kalau ada bintang 100000000000000000000000 gw kasih deh, aplikasi paling top bgt deh Tokopedia, pertahanin yah biar usernya makin banyak",5
proses mulu,1
oke,5
selalu bisa diandalkan.,5
SEJAK DI CAPLOK TOKTOK NIH APK MAKIN GAK JELAS.SERING ERROR KUPON FREEONGKIR GAK MUNCUL.APK MAKIN BERAT.EKPEDISI YG DI GUNAKAN MAKIN BURUK .APK GAK SESIMPLE DAN CANTIK SEPERTI SAAT SEBELUM DI CAPLOK TOK TOK.,1
Toko pedia kalah mah sama shopee... Shopee balanja brapapun banyak gratis ongkirnya.. Lah toped..??,1
Tidak jelas pesanan saya di batalkan abis ngbug pokonya dh mls lah pake tokped klo kya gini mulu,1
ssngat cocok,5
"Pesan tidak bisa dibuka,jika buka pesan chat aplikasi langsung ketutup sendiri",3
kenapa tokped saya udah 2 mingguan ini eror terus dn Ndak Isa di buka tolong secepatnya di perbaiki,2
Ok,5
Aplikasi Tokopedia bagus buat belanja online tapi saran saya tambah metode pengiriman selain j&t karena tempat kami agak jauh dari j&t,5
baru gabung,5
Keren,5
mantab,5
"niat ngasih promo ga si, masa saya mau pesen barang tiba tiba promo nya ilang.",1
knp skrg chatnya gak bisa dihapus?,4
Bagaimana cara menampilkan fitur chat pembeli diakun tokped? Karena fitur chat ke pembeli tiba-tiba hilang setelah update,5
sangat sangat baik aplikasi ini memudahkan saya untuk berbelanja,5
"Aku kasih 2 bintang dulu Soalnya 3x dapet diskon potongan hoax terus,di batalin oleh sistem aja yang akhirnya diskon nya Angus,barang gak dapet,Kena PHP terus sama tokped nih...",2
Terbantu,5
Kelemahan Tokopedia adalah ongkirnya yg udah gak masuk akal untuk ke luar pulau. Ongkirnya sengaja di jadikan 2x lipat dari yg semestinya. Mending ke toko orens ongkirnya jauh lebih masuk akal. Toped sih memang utk pasar di pulau Jawa saja.,1
Baru kali ini dibatalkan otomatis...emang sih kapan hari aplikasi terhapus terus buat lagi sama...mingkin itu jadi masalah...😥...ya...hapus lagi aja...walau awal sudah cocok....thank tokopedia...kapan2 instal lagi kalau dibutuhkan🙏👍,5
Masya Allah,4
bagus,5
wow,5
sangat puas,5
"Gopay later ga pernah di apro e , tapi ditawari terus . 🙄",1
pilihan COD'nya dikit..ga kek oren banyak cod,3
pertama pakai tokopedia,3
dowload aplikasi ini cuman buat beli hp doang 🗿,5
keren,4
mantapp,5
mudah dan cepat,5
Banyak gratis ongkir Voucher diskon banyak banget Diskon gak nanggung nanggung Apk belanja paling bagus gak kayak apk sebelah,5
Aplikasi nya bagus dan mudah 🤫👍👍👍,5
terbaik pokok nya,4
banyak diskon Saya suka,5
"Kebanyakan harga promo,di CO promo tidak bisa di gunakan...",3
Ok,5
Aplikasi Sampah Karena Ongkir Mahal dan Setiap Pembayaran Selalu Gagal,1
bgus,5
terbaik,5
solusi yg di berikan tidak ada.dari email 1 dan 2 hanya nama saya yg di balik sampai muter2 aja gara2 salah pencet nomor telp yg baru buat akun tokped jadinya tutup ke 22 emailnya.kagak ada jalur solusinya.Terimakasih,1
Good job👍🏻👍🏻👍🏻👍🏻,5
keren,5
mantaap,5
"Mantap lah,,",5
sangat membantu,5
sangat memuaskan,5
Barangnya bagus bagus ori semua tapi sayang ongkir terlalu mahal gak ada gratis ongkir,3
mudah,5
Sangat baik,5
like,5
mantap,5
"Sudah Lama tidak belanja di tokopedia, eh,, ternyata ekspedisinya masih rekomendasi, paket dioper sana sini ekspedisi, akhirnya ga di kirim². KAPOK Belanja di tokopedia, mending di shopee pake ekspedisi yg profesional SPX xpress, paket sehari juga sampai.",1
"Jadi sering lemot banget ini aplikasi, gak kaya dulu minim gangguan, hari ini aja mau ngecek bagian tagihan multipayment gak bisa² disuruh coba berkala🤦🏻‍♂️",3
mantap,5
mantapp,5
ok baik,5
sangat baik,5
"Kenapa saya tidak bisa cod, padahal tertera bisa cod, saat pemilihan pembayaran gak muncul muncul, sudah berapa kali pun saya mencobanya tetap saja tidak bisa, sayang sekali :((",3
"gak lagi lagi dah beli di tokped, kurir rekomendasi nya lelet banget, return barang di persulit",1
masuk bosku. . Terbaik. . .,5
"Tokopedia tetep yg terbaik Belanja aman dan pasti,admin yg keren ,pokoknya aku cinta Tokopedia Hanya Tokopedia pembeli dan penjual dilindungin Adminnya selalu membantu Buat tokopedia semakin bersinar Sukses sampai selamanya",5
Sudah loding pake unlimited martfree ga seperti shopee dan lazada jadi untuk toko pedia jarang aku buka,1
"Promo susah, ongkir mahal, banyak yang pindah haluan ke lazada karena lebih mudah dapetin lazrewards buat potongan harga.",1
"mudah-mudahan barang yang di pesan sesuai dan semakin banyak promo, terimakasih Tokopedia",5
"Coba dong tolong Tokopedia... Soal masalah pembatalan pesanan di permudah .gausah nunggu persetujuan dari penjual dulu ... Soal banyak toko yg gak niat jualan . Sudah di order tp gak di kirim² ... Giliran di batalkan baru di kirim esok hari nya ... Tolong dong Tokopedia Yg sat set ... Jujur sy gak seneng nya begini, kalo belanja di Tokopedia...toko² kurang sat set proses pengiriman nya ... Contoh shopee lah ...",2
mantap,5
ok,4
aplikasi sampah penyelesaian komplain yang gajelas cuih,1
sangat membantu,5
mantab best seller nya dapat dipercaya,5
"Cs nya lama ga ada kejelasan mana itu uang dari ayah kena marah aku kalo ga keliatan barang nya di kira pembohong ,tolong di perbaiki lagi",1
"kurir tokped itu pada lambat kaya siput, banyak banget kelakuan tololnya, yg alhasil bikin paket gagal pickup. Dan lagi mana Tokopedia Carenya kek gk ada gunanya, gk nyelesain masalah cs, Gk ada tanggapan secara langsung/live. Malah kek ngomong sama bot cookk",1
pokok nya puas belanja di tokopedia.. muantapppp,5
"Sengaja saya kasih b1 agar komentar saya di baca oleh pihak Tokopedia. Kenapa saya saat ingin cekaut barang yang memiliki voucher discount pengguna baru dan gratis ongkir malah tidak bisa digunakan padahal voucher discount& gratis ongkir nya masih ada waktu 2jm, saya ingin membeli barang seharga 60rbu dan mendapatkan diskon 70% saat ingin cekaut barang tersebut malah menjadi 100rbuan mohon untuk pihak Tokopedia menjelaskan apakah discount tersebut hanya untuk pajngan semta atau mmang bisa dignkn",1
"Pengiriman nya lambat, sampai sekarang belum sampai asli sih ini parah banget",1
Banyak bug,2
yey,5
"Pengirimannya lambat harusnya 3 hari udah nyampe ini bisa seminggu full baru dateng, tolong dongg dipilih pengiriman yang cepet. Menurut saya ini pengalaman terburuk saya, lebih cepetan Shopee sama lazada. Saya pesen paket nya bareng di apk tokopedia sama Shopee tapi lebih dulu dateng di apk Shopee😏.",1
"Well, Bayar 15kan terus barangnya di refund karena Kurir ga bisa nemuin alamatnya GAJELASSS! Pesen di shope pakek SPX express Dengan alamat yg sama Kurirnya Bisa² aja nemuin , Padahal Udah ada lokasi Yg pas loh. Terus Bayar 15k yg di refund Cuman Rp3300an Ga Masalah si Tapi GA JELAS JADINYA",1
Pelayanan terbaik,5
Pengiriman dan onkir pakai instan tapi pengantaran sameday tokped gojek mau cari untung y TERLALU!!!!!,1
"mohon kerja sama nya pingiriman paketnya lama bangett,kadang saya smpek lupa ...",5
"Lemot sekali bugs apk nya, tolong perbaiki",1
login nya lama karena kode pin tidak bisa terus jadi saya gagal membeli karena barang sudah habis,2
"good job, Terima kasih Tokopedia",5
Di dowload susah,2
Saya gak bisa menginstal,1
Terbaik,5
Gak nyaman masak saya cek out tiba2 batal otomatis,1
"Saya kasi bintang 1 untuk belanja disini tidak rekomend barang tidak sampai ke pelanggan, bahkan CS, gak merespon dengan serius.",1
Tokopedia kocak,1
"aplikasi yang sangat berguna , keamanan sangat bagus , fitur lengkap. terimakasih",5
Beli disini pakai sicepat tapi barang lama 5 hari blum datang jg gk kyk apk Orange gercep 2 hari nyampe,1
"Belanja di toko pedia biaya ongkos kirimnya 2x lipatl dari harga barang yg dipesan sudah begitu estimasi tibanya sangat lama, bagaimana bisa barang sebarat 35 gram yg di order per tgl 15-2 estimasi tiba 11-3 mending di toko oren",1
bagus,5
"Bagus n pas mantap pisan,,, mereunnn ho oh,,,",4
mantap lebih gampang,5
"Aplikasi ampas mau ganti nomer yang sudah tidak aktif gabisa, kode nya malah dikirim ke nomer yg tidak aktif. Pelayanan lelet pegawai yg nanganin tokped care nya kurang becus",1
bagus,5
"Banyak Bug, Hilang duit saya ga bisa balik",1
"Aplikasi ini bertambah tahun ke tahun makin nyiksa aja,makin rusak,makin ribet ,tiba2 apalah yg eror ga jelas.",1
Mantap,5
banyak diskon buat akun baru,4
"Bnyak toko yg gak aktif, sehingga pesanan kita dibatalkan sepihak dan uang yg dikembalikan gak 100%",1
Ribettttt masang pin aja banyak aturan,1
mudah,5
keren,5
toppp banget,5
Suka banget belanja di tokopedia🥰,5
Sudah payment barang co malah di batalkan sistem nggk jelas Tokopedia. Mending pindah toko oren aja,1
mantap saya suka banget belanja di toko pedia sangat cepat dan amanah,5
sangat baik,5
Promo nya mantap,5
"Tokped sejak merger sama tiktok kok promonya makin berkurang yaa, voucher free ongkir aja udah ga ada, ada pun tetep kena ongkir ga motong full",1
"Sudah lama menggunakan tokped tapi dikecewakan sama proses pengembalian barang, dalam seminggu kurir tidak kunjung datang hanya datang sekali dihari kedua itupun ditolak karena sudah gant hari",1
menyenangkan memilih dan membandingkan produk + harganya di toped,5
Erorr mulu... banyak transaksi yang di cancel oleh sistem,1
Tingkatkan apk sebaik mungkin...good...!!!,5
"Admin sosmednya dimana2 lemot ga gubris, akun saya pengajuan ganti nomor sudah 1x24 jam di proses tidak ada kelanjutannya, akun ter log out, saldo masih ada! Gimana ini tokped ancur banget banyak pula yg komplen cacad pindah shopee aja lama2",1
Diskon kecil gk kayak shopee,1
"Buat pin aja dipersulit, angka acak pun tetap salah, sangat mempersulit pembuatan akun!! Saranku pembuatan pin jika akun sudah bisa dibuka,, kalau belum dibuka, terus buat pin aja selalu ""token tidak valid"", ya gabisa menggunakan apk nya. APLIKASI GA GUNA, GA JELAS!! BUANG BUANG WAKTU!!",1
Pesanan gak datang datang udah pesen 2 kali,1
"Terimakasih Tokopedia, sudah memberikan layanan yang cukup baik, terutama pada masalah jaringan.",4
Pesan di menu sekarang tidak bisa dihapus kenapa yah..?,1
ok asal jgn pembaharuan bsnyak,5
mantap tokopedia toko amanah,5
"Tokopediaaaa selalu memberi kemudahan, saya puas menggunakan layanan-layanan dari Tokopediaa",5
Semua nya murah meriah,5
"Tokopedia mantap, barangnya asli & prosesnya cepat👍",5
"bagus si, tapi update mulu ribet",4
"Setiap kali promo KodeVoucher gak bisa dpke, daftar susah",1
gak bisa COD,1
"Mengecewakan,saya pesan barang sampai 1 bulan belum sampai baranya,dan belum ada kejelasan refaund pembayaranya padahal sudah di bayar lunas",1
Sayang udah bukan milik 100% indo,5
Is baru belajar membuat akun Tokopedia harap dukungannya ya !,5
Jossss,5
"penanganan costumer terlalu lambat,bertele tele",1
mantap,5
ga jelas eh,1
love sekebon 😜😜😜🥰🥰🥰🥰🥰,5
"Tampilan loading lama, masih bagus yang dulu lebih ringan. padahal pakai s23U lokasi di Jakarta. Saya kira masalah signal. Di hp keluarga juga sama. Lama loading nya.",1
Kenapa Tokopedia semakin lama semakin jelek yah. Sudah pengiriman lambat skrg. Bisnis saya jadi ikut2an lambat dan pelanggan semua hilang. Resi saya sampai sekarang belum di input sama penjual. skrg orderan saya mana belum saya terima lagi. Adduuuuuucch,1
Kenapa susah mengirim dokumen foto kepada penjual fiturnya tidak di sediakaan,3
Masih oke,4
"dapet diskon terus, suka 💕",5
"Sebenarnya aplikasi sangat bagus , tapi bnyak biaya tambahan, dan pelit promo, beda kaya dlu dan aplikasi sebelah setiap event tanggal kembar dan payday banyak promo",5
cinta milik Indonesia,5
"Knapa ya untuk dana tunai hanya 6 x gak ada 9 atu 12 x cicil terlallu dekat dan bunga gede, mohon di perbaiki",3
makin joss yah toped🥰😍😎😎,5
Proses cepat & banyak pilihan produk yg dibutuhkan,5
"Halo. Saya belum mencoba aplikasinya tetapi saya akan memberikan bintang 3 dikarenakan masalah server yang terus menerus bermunculan, sehingga saya tidak bisa mendaftarkan akun saya. Terimakasih. mohon diperbaiki",3
oke,5
4th bersama tokped. sekarang sudah 10tahun,5
Banya promo dan harga yg terjangkau Tp syang Ndak BS cod Dan KLO udah transfer dluan kurirnya mesti sembrono kdng di antar ke rumah tetangga tnpa pemberitauan,4
Dari jaman nya pembayaran via transfer dan harus konfirmasi pembayaran nya upload bukti pembayaran sampe sekarang serba otomatis masih tetap setia dengan tokopedia,5
otw,5
mudah. murah dan melindungi konsumen,5
Good lah mantap untuk digunakan belanja Online,5
Sering error saat check out barang/masukkan ke keranjang,4
Good jobs,5
Susah banget mau daftar aku tokped,3
Dibeli toktok jadi anyep promonya min😐,3
MAKIN KESINI MAKIN LEMOT PARAH!!!!!!!,1
Ok,5
"System skrg merugikan buyer,dan menguntungkan seller,krna stiap pembatalan hrs dpt ijin dulu dr seller,ya seller mana mau di batalin pesanannya, kocak emang tokopedia, harusnya batal ya semaunya buyerlah krna hak nya buyer, klo gini caranya ya namanya pemaksaan hrs beli, untuk tokopedia mohon di rubah lagi systemnya",1
Masya Allah luar biasa sengatttt,5
Sekarang tokped tidak ada vocher belanja bulananya yang diskon 50% 20-30k . -_-,3
"kenapa ya pesanan saya malah tiba' di batalkan sama tokopedia nya?terus vocher pengguna baru nya tiba' gaada, jadi seolah olah saya sudah pakai, padahal kan saya pakai tapi pesanan saya malah di batalin sama tokopedia nya,harus nya vocernya di kembalikan juga dong, karna gajadi saya pakai",1
Mantap☝👍Thank you min,5
"Apaansi padahal bisa cod tapi kok pas chek out gak bisa,terjadi masalah mulu",1
ok,5
Kakak bisa bayar di tempat,5
"aplikasinya udah bagus, tapi ada trouble pada saat ada pembayaran biasanya layarnya putih trus kembali ke halaman checkout atau keranjang dan itu bikin ganggu, itu aja sih thnx.",4
Coba dulu,4
Good,5
semoga barang yg dicek out sesuai dengan pesanan ya,5
Aplikasi sering bug,1
bnyk promo y trimh ksih bisa blnja dsini dgn mudhb,5
"Susah banget daftarnya bikin emosi,kesalahan server mulu",1
lebih bnyak lgi dong diskon nya,5
Wow aplikasinya bagus banget,5
"ada angka nya paylater tp gk bisa di pake,, tokped sempak",1
tooppp,5
Kenapa sekarang ketika pencet barang selalu harus pencet lagi (Lihat Detail Produk). Bikin males pakai tokopedia. Tolong kembalikan seperti biasa,1
Puaaaassssssssssss bingiiitttt,5
"kupon diskon berjejer di deretan kupon yg bisa dipakai,tapi tidak ada satupun keterangan soal dimana voucher diskon itu bisa digunakan,ini aplikasi nya yang SAMPAH atau memang tidak niat promosi,..lebih baik tidak usah kasih voucher diskon ini itu,jika tidak diberi keterangan untuk toko atau jenis barang apa saja,.. bukan malah diisi keterangan ""toko tertentu""saja...memang nya kita peramal....Makin gak jelas aja ini aplikasi",1
sangat membantu dalam pembelian barang secara online,5
sangat bagus,5
Tolong etsimasinya di perbarui jangan seminggu padahal cekout satu kota masa 1minggu baru nyampe,4
Jdi males belanja di toko pedia ga ada gratis ongkir dan diskon nya cuma sekali ja ada gratis ongkir dan diskon nya. Lbh sempurna belanja d shoppe,2
"Belanja di Tokopedia makin gak jelas,pesanan gak direspon. Gak ada gerakan. Mending di shopee produk beragam,banyak pilihan,pengiriman cepat,toko nya pun selalu menjaga,dan menghargai pembeli",1
Bari pertama kali pake kesannya buruk telat nyampe barangnya,1
banyak vocer gratis ini itu tapi butuh syarat sama ajh ampas,3
"Pelayanannya bagus, barang barang sesuai👍🏻",5
Setiap transaksi bank BRI prosesnya lama direspon sama pihak tokpednya,1
mantap terimakasih,5
Bagus mantap banget aplikasinya keren sekali.terimakasih saya bangga sekali dengan aplikasi ini.hore 👍🙏🤔🤓🤳.,5
degang Tokopedia belanja lebih mudah,5
biar bintang yang berbicara,5
mantap,5
aplikasi aneh ngbandingin harga suatu produk sama apk oren jauh bangt njir mahal mahal kalo di apk ini pdhl sama sama di mall nya,1
Kurir yang dipake tokped lelet mnding apl sebelah,2
Kenapa jadi susah untuk login ? Dan terkadang voucher tdk bisa di gunakan padahal waktu hangus voucher nya masih lama ?,4
"gila Tokopedia gacor bangett anjenggg, paket gua cpt banget sampenya",5
mantap sekali. sangat nyaman yransakasi di tokopedia,5
bagus,5
cukup membantu saat butuh yg dicari.,5
good,5
pesanan saya datang terlambat terus menerus kurir sicepat Dou gak beres lambat,1
"COK!!! MURAH MURAH ASELIII SUMPILLL KALEAN WAJIB INSTAL SIHHH MURCE ABIS COKKK,😔😔😔 NYESEL BANGET NGGA DARI DULU TAUNYAAA",5
di coba dulu,4
istimewa pokok nya Tokopedia,5
mantap,5
"Kenapa tidak ada pembayaran Via dana, pakai ovo, ovonya error terus permasalahan koneksi, padahal koneksi lancar.",3
"Parah ah tokped, kenapa kerjasama denga jasa kirim jne terus. Tolong tambah pilihan kurir rekomendasi bisa pilih jasa kirim yang mana lah. Jne lelet nya ampuuuun, ga ada kurir nya apa nih jasa kirim.",1
belanja lebih mudah,5
wow,1
Daftar nya ribet pake email pake nomer hp EROR trs beberapa kali coba ttep EROR..,1
